,name,gender,race
0,Sam Worthington,Male,White
1,Sigourney Weaver,Female,White
2,Michelle Rodriguez,Female,Hispanic
3,Joel David Moore,Male,White
4,Wes Studi,Male,American Aborigine
5,Dileep Rao,Male,Asian
6,Sean Anthony Moran,Male,White
7,Scott Lawrence,Male,White
8,James Patrick Pitt,Male,White
9,Peter Dillon,Male,White
10,Kelson Henderson,Male,Black
11,Jacob Tomuri,Male,White
12,Jon Curry,Male,White
13,Luke Hawker,Male,White
14,Peter Mensah,Male,White
15,Jahnel Curfman,Other,White
16,Kyla Warren,Female,White
17,Debra Wilson,Female,White
18,Jodie Landau,Female,White
19,Julie Lamm,Female,White
20,Joseph Brady Madden,Male,White
21,Austin Wilson,Male,White
22,Tamica Washington-Miller,Female,Black
23,Nathan Meister,Male,White
24,Matthew Chamberlain,Male,White
25,Wray Wilson,Other,White
26,Melvin Leno Clark III,Male,White
27,Brandon Jelkes,Male,White
28,Hanniyah Muhammad,Other,Black
29,Christa Oliver,Female,White
30,Bravita A. Threatt,Other,White
31,Lasco Atkins,Other,White
32,Colin Bleasdale,Male,White
33,Matt Clayton,Male,White
34,Nicole Dionne,Female,White
35,Joshua Farcone,Male,White
36,Allan Henry,Male,White
37,Anthony Ingruber,Male,White
38,Dean Knowsley,Male,White
39,Wiebe Marinus,Male,White
40,Terry Notary,Male,White
41,Kai Pantano,Male,White
42,Luis G. Portillo,Male,Hispanic
43,Gareth Ruck,Male,White
44,Rhian Sheehan,Female,White
45,T.J. Storm,Male,White
46,Alicia Vela-Bailey,Female,White
47,Nikie Zambo,Female,White
48,Zoe Saldana,Female,Multiracial
50,Giovanni Ribisi,Male,
51,CCH Pounder,Female,Black
52,Laz Alonso,Male,Black
53,Matt Gerald,Male,White
54,Jason Whyte,Male,White
55,Kelly Kilgour,Female,White
56,Sean Patrick Murphy,Male,White
57,Kevin Dorman,Male,White
58,David Van Horn,Male,White
59,Michael Blain-Rozgay,Male,Hispanic
60,Julene Renee,Female,White
61,Woody Schultz,Male,White
62,Sonia Yee,Female,Asian
63,Ilram Choi,Other,Asian
64,Lisa Roumain,Female,White
65,Taylor Kibby,Male,White
66,Chris Mala,Male,White
67,Cullen B. Madden,Male,White
68,Frankie Torres,Male,Hispanic
69,Sara Wilson,Female,White
70,Lucy Briant,Female,White
71,Gerry Blair,Male,White
72,Paul Yates,Male,White
73,James Gaylyn,Male,White
74,Carvon Futrell,Other,White
75,Micah Moch,Male,White
76,Christopher Nolen,Male,White
77,April Marie Thomas,Female,White
78,Eoin Bates,Male,White
79,Mike Bodnar,Male,White
80,Hamish Denston,Male,White
81,Mia Dodson,Female,White
82,Jamie Harrison,Female,White
83,Jessica J. Immanuel,Female,White
84,Ashley Jeffery,Female,White
85,Tim Mansell,Male,White
