Horror Wiki Index,Title,Year,Horror Wiki URL,Stripped Title
787,1408 (2007),2007,/wiki/1408_(2007),1408
1128,1922 (2017),2017,/wiki/1922_(2017),1922
968,2-Headed Shark Attack (2012),2012,/wiki/2-Headed_Shark_Attack_(2012),2 headed shark attack
644,28 Days Later (2002),2002,/wiki/28_Days_Later_(2002),28 days later
788,28 Weeks Later (2007),2007,/wiki/28_Weeks_Later_(2007),28 weeks later
1073,3-Headed Shark Attack (2015),2015,/wiki/3-Headed_Shark_Attack_(2015),3 headed shark attack
789,30 Days of Night (2007),2007,/wiki/30_Days_of_Night_(2007),30 days of night
1160,4/20 Massacre,2018,/wiki/4/20_Massacre,4 20 massacre
1129,47 Meters Down (2017),2017,/wiki/47_Meters_Down_(2017),47 meters down
1195,47 Meters Down: Uncaged (2019),2019,/wiki/47_Meters_Down:_Uncaged_(2019),47 meters down uncaged
936,51 (2011),2011,/wiki/51_(2011),51
359,555 (1988),1988,/wiki/555_(1988),555
1130,6:66 P.M. (2016),2017,/wiki/6:66_P.M._(2016),6 66 p m
645,999 - 9999 (2002),2002,/wiki/999_-_9999_(2002),999 9999
430,A Cat in the Brain (1990),1990,/wiki/A_Cat_in_the_Brain_(1990),a cat in brain
262,A Nightmare on Elm Street (1984),1984,/wiki/A_Nightmare_on_Elm_Street_(1984),a nightmare on elm street
908,A Nightmare on Elm Street (2010),2010,/wiki/A_Nightmare_on_Elm_Street_(2010),a nightmare on elm street
276,A Nightmare on Elm Street 2: Freddy's Revenge (1985),1985,/wiki/A_Nightmare_on_Elm_Street_2:_Freddy%27s_Revenge_(1985),a nightmare on elm street 2 freddys revenge
323,A Nightmare on Elm Street 3: Dream Warriors (1987),1987,/wiki/A_Nightmare_on_Elm_Street_3:_Dream_Warriors_(1987),a nightmare on elm street 3 dream warriors
383,A Nightmare on Elm Street 4: The Dream Master,1988,/wiki/A_Nightmare_on_Elm_Street_4:_The_Dream_Master,a nightmare on elm street 4 dream master
394,A Nightmare on Elm Street 5: The Dream Child (1989),1989,/wiki/A_Nightmare_on_Elm_Street_5:_The_Dream_Child_(1989),a nightmare on elm street 5 dream child
1161,A Quiet Place (2018),2018,/wiki/A_Quiet_Place_(2018),a quiet place
667,A Tale of Two Sisters (2003),2003,/wiki/A_Tale_of_Two_Sisters_(2003),a tale of two sisters
32,A Virgin Among the Living Dead (1973),1973,/wiki/A_Virgin_Among_the_Living_Dead_(1973),a virgin among living dead
533,Aatank (1996),1996,/wiki/Aatank_(1996),aatank
51,Abby (1974),1974,/wiki/Abby_(1974),abby
1006,The ABC's of Death,2012,/wiki/The_ABC%27s_of_Death,abcs of death
1065,The ABC's of Death 2,2014,/wiki/The_ABC%27s_of_Death_2,abcs of death 2
1154,The ABC's of Death 2.5,2017,/wiki/The_ABC%27s_of_Death_2.5,abcs of death 2 5
546,Aberration (1997),1997,/wiki/Aberration_(1997),aberration
9,Abominable Dr. Phibes (1971),1971,/wiki/Abominable_Dr._Phibes_(1971),abominable dr phibes
295,The Abomination (1986),1986,/wiki/The_Abomination_(1986),abomination
969,Abraham Lincoln: Vampire Hunter (2012),2012,/wiki/Abraham_Lincoln:_Vampire_Hunter_(2012),abraham lincoln vampire hunter
80,"Alice, Sweet Alice (1976)",1976,"/wiki/Alice,_Sweet_Alice_(1976)",alice sweet alice
134,Alien (1979),1979,/wiki/Alien_(1979),alien
476,Alien 3 (1992),1992,/wiki/Alien_3_(1992),alien 3
1131,Alien: Covenant (2017),2017,/wiki/Alien:_Covenant_(2017),alien covenant
128,The Alien Factor,1978,/wiki/The_Alien_Factor,alien factor
547,Alien Resurrection (1997),1997,/wiki/Alien_Resurrection_(1997),alien resurrection
684,Alien vs. Predator (2004),2004,/wiki/Alien_vs._Predator_(2004),alien vs predator
296,Aliens (1986),1986,/wiki/Aliens_(1986),aliens
790,Aliens vs. Predator: Requiem (2007),2007,/wiki/Aliens_vs._Predator:_Requiem_(2007),aliens vs predator requiem
745,All the Boys Love Mandy Lane (2006),2006,/wiki/All_the_Boys_Love_Mandy_Lane_(2006),all boys love mandy lane
147,Alligator (1980),1980,/wiki/Alligator_(1980),alligator
457,Alligator II: The Mutation (1991),1991,/wiki/Alligator_II:_The_Mutation_(1991),alligator ii mutation
708,Alone in the Dark (2005),2005,/wiki/Alone_in_the_Dark_(2005),alone in dark
219,Alone in the Dark (1982),1982,/wiki/Alone_in_the_Dark_(1982),alone in dark
833,Alone in the Dark II,2008,/wiki/Alone_in_the_Dark_II,alone in dark ii
746,Altered (2006),2006,/wiki/Altered_(2006),altered
148,Altered States (1980),1980,/wiki/Altered_States_(1980),altered states
1013,Alyce Kills (2013),2013,/wiki/Alyce_Kills_(2013),alyce kills
970,American Horror House (2012),2012,/wiki/American_Horror_House_(2012),american horror house
971,American Mary (2012),2012,/wiki/American_Mary_(2012),american mary
608,American Psycho (2000),2000,/wiki/American_Psycho_(2000),american psycho
243,Amityville 3-D (1983),1983,/wiki/Amityville_3-D_(1983),amityville 3 d
395,Amityville 4: The Evil Escapes (1989),1989,/wiki/Amityville_4:_The_Evil_Escapes_(1989),amityville 4 evil escapes
491,Amityville: A New Generation (1993),1993,/wiki/Amityville:_A_New_Generation_(1993),amityville a new generation
1132,Amityville: The Awakening (2017),2017,/wiki/Amityville:_The_Awakening_(2017),amityville awakening
425,The Amityville Curse (1990),1990,/wiki/The_Amityville_Curse_(1990),amityville curse
548,Amityville Dollhouse (1996),1997,/wiki/Amityville_Dollhouse_(1996),amityville dollhouse
937,The Amityville Haunting (2011),2011,/wiki/The_Amityville_Haunting_(2011),amityville haunting
738,The Amityville Horror (2005),2005,/wiki/The_Amityville_Horror_(2005),amityville horror
220,Amityville II: The Possession (1982),1982,/wiki/Amityville_II:_The_Possession_(1982),amityville ii possession
477,Amityville: It's About Time (1992),1992,/wiki/Amityville:_It%27s_About_Time_(1992),amityville its about time
834,Amusement (2008),2008,/wiki/Amusement_(2008),amusement
182,An American Werewolf in London (1981),1981,/wiki/An_American_Werewolf_in_London_(1981),an american werewolf in london
549,An American Werewolf in Paris (1997),1997,/wiki/An_American_Werewolf_in_Paris_(1997),an american werewolf in paris
1196,An Official Guide to Surviving the Invasion,2019,/wiki/An_Official_Guide_to_Surviving_the_Invasion,an official guide to surviving invasion
550,Anaconda (1997),1997,/wiki/Anaconda_(1997),anaconda
685,Anacondas: The Hunt for the Blood Orchid (2004),2004,/wiki/Anacondas:_The_Hunt_for_the_Blood_Orchid_(2004),anacondas hunt for blood orchid
835,Anacondas: Offspring (2008),2008,/wiki/Anacondas:_Offspring_(2008),anacondas offspring
866,Anacondas: Trail of Blood,2009,/wiki/Anacondas:_Trail_of_Blood,anacondas trail of blood
324,Angel Heart (1987),1987,/wiki/Angel_Heart_(1987),angel heart
325,Angustia (1987),1987,/wiki/Angustia_(1987),angustia
1162,Anna and the Apocalypse (2018),2018,/wiki/Anna_and_the_Apocalypse_(2018),anna and apocalypse
1041,Annabelle (2014),2014,/wiki/Annabelle_(2014),annabelle
1197,Annabelle Comes Home (2019),2019,/wiki/Annabelle_Comes_Home_(2019),annabelle comes home
1133,Annabelle: Creation (2017),2017,/wiki/Annabelle:_Creation_(2017),annabelle creation
1163,Annihilation (2018),2018,/wiki/Annihilation_(2018),annihilation
972,Another (2012),2012,/wiki/Another_(2012),another
1134,Another WolfCop (2017),2017,/wiki/Another_WolfCop_(2017),another wolfcop
149,Antropophagus (1980),1980,/wiki/Antropophagus_(1980),antropophagus
938,Apollo 18 (2011),2011,/wiki/Apollo_18_(2011),apollo 18
973,The Apparition (2012),2012,/wiki/The_Apparition_(2012),apparition
297,April Fool's Day (1986),1986,/wiki/April_Fool%27s_Day_(1986),april fools day
836,April Fool's Day (2008),2008,/wiki/April_Fool%27s_Day_(2008),april fools day
426,Arachnophobia (1990),1990,/wiki/Arachnophobia_(1990),arachnophobia
478,Army of Darkness (1992),1992,/wiki/Army_of_Darkness_(1992),army of darkness
1042,"As Above, So Below (2014)",2014,"/wiki/As_Above,_So_Below_(2014)",as above so below
1135,Assumption (2017),2017,/wiki/Assumption_(2017),assumption
1043,At the Devil's Door (2014),2014,/wiki/At_the_Devil%27s_Door_(2014),at devils door
1096,Atomic Shark (2016),2016,/wiki/Atomic_Shark_(2016),atomic shark
95,Audrey Rose (1977),1977,/wiki/Audrey_Rose_(1977),audrey rose
180,The Awakening,1980,/wiki/The_Awakening,awakening
52,Axe (1974),1974,/wiki/Axe_(1974),axe
1014,B.C. (2013),2013,/wiki/B.C._(2013),b c
1066,The Babadook,2014,/wiki/The_Babadook,babadook
1155,The Babysitter,2017,/wiki/The_Babysitter,babysitter
1237,The Babysitter: Killer Queen,2020,/wiki/The_Babysitter:_Killer_Queen,babysitter killer queen
534,Bad Moon (1996),1996,/wiki/Bad_Moon_(1996),bad moon
326,Bad Taste (1987),1987,/wiki/Bad_Taste_(1987),bad taste
974,Bait (2012),2012,/wiki/Bait_(2012),bait
1215,The Banana Splits Movie (2019),2019,/wiki/The_Banana_Splits_Movie_(2019),banana splits movie
837,Banshee!!! (2008),2008,/wiki/Banshee!!!_(2008),banshee
17,Baron Blood (1972),1972,/wiki/Baron_Blood_(1972),baron blood
221,Basket Case (1982),1982,/wiki/Basket_Case_(1982),basket case
427,Basket Case 2 (1990),1990,/wiki/Basket_Case_2_(1990),basket case 2
458,Basket Case 3: The Progeny (1991),1991,/wiki/Basket_Case_3:_The_Progeny_(1991),basket case 3 progeny
53,The Bat People (1974),1974,/wiki/The_Bat_People_(1974),bat people
10,Beast of the Yellow Night (1971),1971,/wiki/Beast_of_the_Yellow_Night_(1971),beast of yellow night
222,The Beast Within (1982),1982,/wiki/The_Beast_Within_(1982),beast within
129,The Bees,1978,/wiki/The_Bees,bees
360,Beetlejuice (1988),1988,/wiki/Beetlejuice_(1988),beetlejuice
1097,Before I Wake (2016),2016,/wiki/Before_I_Wake_(2016),before i wake
747,Behind the Mask: The Rise of Leslie Vernon (2006),2006,/wiki/Behind_the_Mask:_The_Rise_of_Leslie_Vernon_(2006),behind mask rise of leslie vernon
258,The Being,1983,/wiki/The_Being,being
1015,Beneath (2013),2013,/wiki/Beneath_(2013),beneath
909,Bereavement,2010,/wiki/Bereavement,bereavement
327,Berserker (1987),1987,/wiki/Berserker_(1987),berserker
18,Beware! The Blob (1972),1972,/wiki/Beware!_The_Blob_(1972),beware blob
213,The Beyond,1981,/wiki/The_Beyond,beyond
150,Beyond Evil (1980),1980,/wiki/Beyond_Evil_(1980),beyond evil
791,Bhool Bhulaiyaa (2007),2007,/wiki/Bhool_Bhulaiyaa_(2007),bhool bhulaiyaa
748,Bikini Bloodbath (2006),2006,/wiki/Bikini_Bloodbath_(2006),bikini bloodbath
838,Bikini Bloodbath Car Wash (2008),2008,/wiki/Bikini_Bloodbath_Car_Wash_(2008),bikini bloodbath car wash
867,Bikini Bloodbath Christmas (2009),2009,/wiki/Bikini_Bloodbath_Christmas_(2009),bikini bloodbath christmas
1164,Bird Box (2018),2018,/wiki/Bird_Box_(2018),bird box
0,The Bird with the Crystal Plumage (1970),1970,/wiki/The_Bird_with_the_Crystal_Plumage_(1970),bird with crystal plumage
214,The Black Cat (1981),1981,/wiki/The_Black_Cat_(1981),black cat
749,Black Christmas (2006),2006,/wiki/Black_Christmas_(2006),black christmas
54,Black Christmas (1974),1974,/wiki/Black_Christmas_(1974),black christmas
1198,Black Christmas (2019),2019,/wiki/Black_Christmas_(2019),black christmas
603,The Black Party,1999,/wiki/The_Black_Party,black party
750,Black Sheep (2007),2006,/wiki/Black_Sheep_(2007),black sheep
792,Black Water (2007),2007,/wiki/Black_Water_(2007),black water
899,The Blackout (2009),2009,/wiki/The_Blackout_(2009),blackout
19,Blacula (1972),1972,/wiki/Blacula_(1972),blacula
569,Blade (1998),1998,/wiki/Blade_(1998),blade
646,Blade II (2002),2002,/wiki/Blade_II_(2002),blade ii
1199,Blade: The Iron Cross (2019),2019,/wiki/Blade:_The_Iron_Cross_(2019),blade iron cross
686,Blade: Trinity (2004),2004,/wiki/Blade:_Trinity_(2004),blade trinity
1098,Blair Witch (2016),2016,/wiki/Blair_Witch_(2016),blair witch
586,The Blair Witch Project (1999),1999,/wiki/The_Blair_Witch_Project_(1999),blair witch project
609,Bless the Child (2000),2000,/wiki/Bless_the_Child_(2000),bless child
1238,The Blindman,2020,/wiki/The_Blindman,blindman
361,The Blob (1988),1988,/wiki/The_Blob_(1988),blob
183,Blood Beach (1981),1981,/wiki/Blood_Beach_(1981),blood beach
328,Blood Diner,1987,/wiki/Blood_Diner,blood diner
587,Blood Dolls (1999),1999,/wiki/Blood_Dolls_(1999),blood dolls
1165,Blood Fest (2018),2018,/wiki/Blood_Fest_(2018),blood fest
55,Blood for Dracula (1974),1974,/wiki/Blood_for_Dracula_(1974),blood for dracula
11,Blood from the Mummy's Tomb (1971),1971,/wiki/Blood_from_the_Mummy%27s_Tomb_(1971),blood from mummys tomb
611,Blood: The Last Vampire (2000),2000,/wiki/Blood:_The_Last_Vampire_(2000),blood last vampire
329,Blood Rage (1987),1987,/wiki/Blood_Rage_(1987),blood rage
610,Blood Surf (2000),2000,/wiki/Blood_Surf_(2000),blood surf
151,Bloodeaters (1980),1980,/wiki/Bloodeaters_(1980),bloodeaters
184,Bloody Birthday (1981),1981,/wiki/Bloody_Birthday_(1981),bloody birthday
612,Bloody Murder (2000),2000,/wiki/Bloody_Murder_(2000),bloody murder
