,Title,Year,Plot,Director(s),Star(s),Decade
536,The Dorm That Dripped Blood,1982,Four college students are stalked by an unknown assailant while staying on campus over the Christmas holidays to help clear out a dormitory which is to be demolished.,"Jeffrey Obrow, Stephen Carpenter","Laurie Lapinski, Stephen Sachs, David Snow, Pamela Holland",1980
988,Lucky Stiff,1988,"A plump loser, after being left at the alter by his fiancee, is invited to Christmas dinner by a beautiful woman, but her family are cannibals who intend to have *him* as the main course.",Anthony Perkins,"Donna Dixon, Joe Alaskey, Jeff Kober, Fran Ryan",1980
1067,Family Reunion,1989,"A family on Christmas vacation visits a desert town called Sutterville, where a massacre had been committed 40 years prior, and discovers they had something to do with it. Meanwhile, the local police arrests a mysterious drifter.",Michael Hawes,"Mel Novak, Pam Phillips, Jack Starrett, John Andes",1980
1411,Thirst for Blood,1993,Friends gathering for a Christmas celebration find themselves in the middle of a vampire outbreak and a fight for survival.,Jeff Carney,"Laura Schutter, Kimberly Ann Kurtenbach, Tammy Pescatelli, Raquel Horton",1990
1950,Scream for Christmas,2000,"A Christmas party is interrupted by a violent psychopath in a Santa suit, a maniac with the powers of the Grim Reaper, a killer cheerleader, and a demonic ghost. There is no hope for them, watch as they DIE.",Rob Avery,"Molly Allen, Nicole Appleton, Rob Avery, Lincoln Berry III",2000
2038,Nutcracker,2001,"It's another crazy Christmas and psychotherapist Dr. Carlton Fairfax, Jr. is losing control of his patients and his sanity - then he meets one particularly mysterious patient who sees to it that he definitely continues down that road.",Glen Grefe,"Bill Bragg, David Hess, Christine Marie Schneider, Elina Fillipova",2000
2642,Marcus,2006,"A troubled young man returns home for Christmas in an attempt to reconcile with his estranged sister. Her alleged boyfriend shows up and turns the holiday dinner into a dark, disturbing night of violence and terror.","Rich Robinson, Bob Hardison","Jade Dornfeld, Frankie Ingrassia, Ross Kurt, Scott McCleary",2000
2827,Two Front Teeth,2006,"It's the night before Christmas and Gabe Snow, a tabloid writer haunted by the Ghosts of Christmas past, is investigating a Yule Tide conspiracy. Gabe knows that Flight 1225 was brought ...                See full summary »","David Thomas Sckrabulis, Jamie Nash","Johnny Francis Wolf, Megan Pearson, Michael Brecher, Joseph L. Johnson",2000
2857,Black Christmas,2006,"On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one.",Glen Morgan,"Michelle Trachtenberg, Mary Elizabeth Winstead, Lacey Chabert, Katie Cassidy",2000
3146,P2,2007,A businesswoman is pursued by a psychopath after being locked in a parking garage on Christmas Eve.,Franck Khalfoun,"Rachel Nichols, Wes Bentley, Simon Reynolds, Philip Akin",2000
3158,"The Graveyard Boulevard: Silent Night, Holy S#!T!",2007,"Infamous horror punk band The Graveyard Boulevard spreads the holiday fear through music, skits, and more in their first variety show-style Christmas special.",Justin Kates,"Bryon Bates, Ray Franks, Christopher Hughes, Justin Kates",2000
