Death List Index,Title,Death List URL
0,A Bay of Blood,/wiki/A_Bay_of_Blood
1,A Blade in the Dark,/wiki/A_Blade_in_the_Dark
2,A Bucket Of Blood,/wiki/A_Bucket_Of_Blood
3,A Creepshow Animated Special,/wiki/A_Creepshow_Animated_Special
4,A Nightmare on Elm Street,/wiki/A_Nightmare_on_Elm_Street
5,A Quiet Place,/wiki/A_Quiet_Place
6,A Serbian Film,/wiki/A_Serbian_Film
7,A Trip to the Moon,/wiki/A_Trip_to_the_Moon
8,A.M.I,/wiki/A.M.I
9,A.N.T. Farm: Mutant Farm,/wiki/A.N.T._Farm:_Mutant_Farm
10,Aatank,/wiki/Aatank
11,Abbott and Costello Meet Frankenstein,/wiki/Abbott_and_Costello_Meet_Frankenstein
12,ABCs of Death,/wiki/ABCs_of_Death
13,Abominable,/wiki/Abominable
14,Abraham Lincoln vs Zombies,/wiki/Abraham_Lincoln_vs_Zombies
15,Absurd,/wiki/Absurd
16,Aftershock,/wiki/Aftershock
17,"Alice, Sweet Alice","/wiki/Alice,_Sweet_Alice"
18,Alien,/wiki/Alien
19,Alive (2020),/wiki/Alive_(2020)
20,All Through The House,/wiki/All_Through_The_House
21,Alligator X,/wiki/Alligator_X
22,Alone in the Dark,/wiki/Alone_in_the_Dark
23,Altered 2006,/wiki/Altered_2006
24,Alyce Kills,/wiki/Alyce_Kills
25,American Mary,/wiki/American_Mary
26,American Psycho,/wiki/American_Psycho
27,Amsterdamned,/wiki/Amsterdamned
28,Amusement,/wiki/Amusement
29,An American Werewolf,/wiki/An_American_Werewolf
30,Anaconda,/wiki/Anaconda
31,Anatomy,/wiki/Anatomy
32,And Then There Were None,/wiki/And_Then_There_Were_None
33,Animal,/wiki/Animal
34,Annihilation,/wiki/Annihilation
35,Anthropophagus,/wiki/Anthropophagus
36,Antichrist,/wiki/Antichrist
37,Apartment Trilogy (Roman Polanski),/wiki/Apartment_Trilogy_(Roman_Polanski)
38,Apocalypse Trilogy (John Carpenter),/wiki/Apocalypse_Trilogy_(John_Carpenter)
39,April Fool's Day (1986),/wiki/April_Fool%27s_Day_(1986)
40,April Fool's Day (2008),/wiki/April_Fool%27s_Day_(2008)
41,Aqua Teen Hunger Force,/wiki/Aqua_Teen_Hunger_Force
42,Aquarius,/wiki/Aquarius
43,Arachnophobia,/wiki/Arachnophobia
44,Are You Afraid of the Dark?,/wiki/Are_You_Afraid_of_the_Dark%3F
45,Area 51 (2015),/wiki/Area_51_(2015)
46,"As Above, So Below","/wiki/As_Above,_So_Below"
47,Ash vs Evil Dead,/wiki/Ash_vs_Evil_Dead
48,Assassination Nation,/wiki/Assassination_Nation
49,Assimilate,/wiki/Assimilate
50,Attack of the Crab Monsters,/wiki/Attack_of_the_Crab_Monsters
51,Attack of the Giant Leeches,/wiki/Attack_of_the_Giant_Leeches
52,Attack Of the Killer Donuts,/wiki/Attack_Of_the_Killer_Donuts
53,Attack of the Killer Tomatoes,/wiki/Attack_of_the_Killer_Tomatoes
54,Attack of the Sabretooth,/wiki/Attack_of_the_Sabretooth
55,Attack the Block,/wiki/Attack_the_Block
56,Axe Giant: The Wrath of Paul Bunyan,/wiki/Axe_Giant:_The_Wrath_of_Paul_Bunyan
57,Aztec Rex,/wiki/Aztec_Rex
58,Bad Blood,/wiki/Bad_Blood
59,Bad Dream,/wiki/Bad_Dream
60,Bad Meat,/wiki/Bad_Meat
61,Bad Moon,/wiki/Bad_Moon
62,Bad Reputation,/wiki/Bad_Reputation
63,Bad Taste,/wiki/Bad_Taste
64,Barn of the Blood Llama,/wiki/Barn_of_the_Blood_Llama
65,Basement Jack,/wiki/Basement_Jack
66,Basic Instinct,/wiki/Basic_Instinct
67,Basket Case,/wiki/Basket_Case
68,Beaks The Movie,/wiki/Beaks_The_Movie
69,Beetlejuice,/wiki/Beetlejuice
70,Berserker,/wiki/Berserker
71,Better Watch Out (2016),/wiki/Better_Watch_Out_(2016)
72,Bigfoot,/wiki/Bigfoot
73,Bird Box,/wiki/Bird_Box
74,Black Christmas,/wiki/Black_Christmas
75,Black Sheep,/wiki/Black_Sheep
76,Blade,/wiki/Blade
77,Blair Witch Project,/wiki/Blair_Witch_Project
78,Blood beach,/wiki/Blood_beach
79,Blood Feast,/wiki/Blood_Feast
80,Blood Harvest,/wiki/Blood_Harvest
81,Blood Quantum,/wiki/Blood_Quantum
82,Blood Rage,/wiki/Blood_Rage
83,Blood Surf,/wiki/Blood_Surf
84,Bloodrage,/wiki/Bloodrage
85,Bloody Birthday,/wiki/Bloody_Birthday
86,Bloody Bloody Bible Camp,/wiki/Bloody_Bloody_Bible_Camp
87,Bloody Moon,/wiki/Bloody_Moon
88,Bloody New Year,/wiki/Bloody_New_Year
89,Blue Ruin,/wiki/Blue_Ruin
90,Body Melt,/wiki/Body_Melt
91,Bone Eater,/wiki/Bone_Eater
92,Bones,/wiki/Bones
93,Boogeyman,/wiki/Boogeyman
94,Book of Monsters,/wiki/Book_of_Monsters
95,Brain Damage,/wiki/Brain_Damage
96,Brett Kavanaugh's Little Judicary Shop of Horrors,/wiki/Brett_Kavanaugh%27s_Little_Judicary_Shop_of_Horrors
97,Brightburn,/wiki/Brightburn
98,Brightburn Universe,/wiki/Brightburn_Universe
99,"BRUCE LEE vs Freddy, Jason, Leatherface & Michael Myers","/wiki/BRUCE_LEE_vs_Freddy,_Jason,_Leatherface_%26_Michael_Myers"
100,Bugs (2003),/wiki/Bugs_(2003)
101,Bunnyman (Series),/wiki/Bunnyman_(Series)
102,Cabin Fever,/wiki/Cabin_Fever
103,"Caltiki, the Immortal Monster","/wiki/Caltiki,_the_Immortal_Monster"
104,Candyman,/wiki/Candyman
105,Cannibal Campout,/wiki/Cannibal_Campout
106,Cargo,/wiki/Cargo
107,Carnage Counts Lego Intros,/wiki/Carnage_Counts_Lego_Intros
108,Carrie,/wiki/Carrie
109,Cell (2016),/wiki/Cell_(2016)
110,Chainsaw Maid,/wiki/Chainsaw_Maid
111,Chawz,/wiki/Chawz
112,Chernobyl Diaries,/wiki/Chernobyl_Diaries
113,Child's Play,/wiki/Child%27s_Play
114,Child's Play (2019),/wiki/Child%27s_Play_(2019)
115,Children of the Corn,/wiki/Children_of_the_Corn
116,Children Shouldn't Play with Dead Things,/wiki/Children_Shouldn%27t_Play_with_Dead_Things
117,Chopping Mall,/wiki/Chopping_Mall
118,Chorakhe,/wiki/Chorakhe
119,Christina's House,/wiki/Christina%27s_House
120,Christine,/wiki/Christine
121,Christmas Evil,/wiki/Christmas_Evil
122,Christmas With Cookie,/wiki/Christmas_With_Cookie
123,Chronicle,/wiki/Chronicle
124,Chucky vs Five Nights at Freddy's vs Toy Story,/wiki/Chucky_vs_Five_Nights_at_Freddy%27s_vs_Toy_Story
125,Circle (2015),/wiki/Circle_(2015)
126,Circus Kane,/wiki/Circus_Kane
127,City of Blood,/wiki/City_of_Blood
128,City of the Living Dead,/wiki/City_of_the_Living_Dead
129,Class of 1984/1999,/wiki/Class_of_1984/1999
130,Cloverfield,/wiki/Cloverfield
131,Clown,/wiki/Clown
132,Clown (2014),/wiki/Clown_(2014)
133,Clownado,/wiki/Clownado
134,Clownhouse,/wiki/Clownhouse
135,Come to Daddy,/wiki/Come_to_Daddy
136,Cooties,/wiki/Cooties
137,Copperhead,/wiki/Copperhead
138,Coraline,/wiki/Coraline
139,Corona Zombies,/wiki/Corona_Zombies
140,Corpse Party Tortured Souls,/wiki/Corpse_Party_Tortured_Souls
141,Countdown,/wiki/Countdown
142,Crawl,/wiki/Crawl
143,Creature 1985,/wiki/Creature_1985
144,Creep,/wiki/Creep
145,Creepshow,/wiki/Creepshow
146,Criminally Insane,/wiki/Criminally_Insane
147,Crimson Peak,/wiki/Crimson_Peak
148,Critters,/wiki/Critters
149,Crocodile Fury,/wiki/Crocodile_Fury
150,Cthulhu Mansion,/wiki/Cthulhu_Mansion
151,Cthulhu Mythos,/wiki/Cthulhu_Mythos
152,Cube,/wiki/Cube
153,Cujo,/wiki/Cujo
154,Cut and Run,/wiki/Cut_and_Run
155,Cutting Glass,/wiki/Cutting_Glass
156,Daddy's Girl,/wiki/Daddy%27s_Girl
157,Dahmer vs Gacy,/wiki/Dahmer_vs_Gacy
158,Dance of the Dead,/wiki/Dance_of_the_Dead
159,Dark Bottom (novel),/wiki/Dark_Bottom_(novel)
160,Dark Island,/wiki/Dark_Island
161,Dark Universe,/wiki/Dark_Universe
162,Dark Waters,/wiki/Dark_Waters
163,David Guetta - She Wolf (Falling To Pieces) ft. Sia,/wiki/David_Guetta_-_She_Wolf_(Falling_To_Pieces)_ft._Sia
164,Dawn of the Dead,/wiki/Dawn_of_the_Dead
165,Day of the Dead,/wiki/Day_of_the_Dead
166,Dead Alive/Braindead,/wiki/Dead_Alive/Braindead
167,Dead Heat,/wiki/Dead_Heat
168,Dead Meat,/wiki/Dead_Meat
169,Dead Meat Killcounts,/wiki/Dead_Meat_Killcounts
170,Dead Silence,/wiki/Dead_Silence
171,Dead Snow,/wiki/Dead_Snow
172,Dead Space Films,/wiki/Dead_Space_Films
173,Deadly Blessing,/wiki/Deadly_Blessing
174,Deadly Friend,/wiki/Deadly_Friend
175,Deat Heat,/wiki/Deat_Heat
176,Death Note (2017),/wiki/Death_Note_(2017)
177,Death Nurse,/wiki/Death_Nurse
178,Death Proof,/wiki/Death_Proof
179,Deep in the Woods,/wiki/Deep_in_the_Woods
180,Deep Red,/wiki/Deep_Red
181,Deep Rising,/wiki/Deep_Rising
182,Deform,/wiki/Deform
183,Deformed Gecko,/wiki/Deformed_Gecko
184,Deliverance,/wiki/Deliverance
185,Demonic Toys,/wiki/Demonic_Toys
186,Demons,/wiki/Demons
187,Detention,/wiki/Detention
188,Devil,/wiki/Devil
189,Devil Times Five,/wiki/Devil_Times_Five
190,Devilman,/wiki/Devilman
191,Disturbia,/wiki/Disturbia
192,Dog Soldiers,/wiki/Dog_Soldiers
193,Doghouse,/wiki/Doghouse
194,Don't Blink,/wiki/Don%27t_Blink
195,Don't Breathe,/wiki/Don%27t_Breathe
196,Don't Go In the House,/wiki/Don%27t_Go_In_the_House
197,Don't Go In The Woods,/wiki/Don%27t_Go_In_The_Woods
198,Don't Go To Sleep,/wiki/Don%27t_Go_To_Sleep
199,Don't Open Till Christmas,/wiki/Don%27t_Open_Till_Christmas
200,Donnie Darko,/wiki/Donnie_Darko
201,Doom Asylum,/wiki/Doom_Asylum
202,Downrage,/wiki/Downrage
203,Dracula,/wiki/Dracula
204,Dracula (Hammer),/wiki/Dracula_(Hammer)
205,Dracula (Wes Craven),/wiki/Dracula_(Wes_Craven)
206,Dracula 3D,/wiki/Dracula_3D
207,Drag Me to Hell,/wiki/Drag_Me_to_Hell
208,Dream Home,/wiki/Dream_Home
209,Dreamcatcher,/wiki/Dreamcatcher
210,Drive Thru,/wiki/Drive_Thru
211,Drive-In Massacre,/wiki/Drive-In_Massacre
212,Dying Breed,/wiki/Dying_Breed
213,Easter Casket,/wiki/Easter_Casket
214,Edge of the Axe,/wiki/Edge_of_the_Axe
215,Eight Legged Freaks,/wiki/Eight_Legged_Freaks
216,Eraserhead,/wiki/Eraserhead
217,Ernest Scared Stupid,/wiki/Ernest_Scared_Stupid
218,Event Horizon,/wiki/Event_Horizon
219,Evil Bong,/wiki/Evil_Bong
220,Evil Dead,/wiki/Evil_Dead
221,Evil Dead (2013),/wiki/Evil_Dead_(2013)
222,Evil Dead Trap,/wiki/Evil_Dead_Trap
223,Evil Ed,/wiki/Evil_Ed
224,Extracurricular,/wiki/Extracurricular
225,Faeriefamiliarfilms's Friday the 13th,/wiki/Faeriefamiliarfilms%27s_Friday_the_13th
226,Famine,/wiki/Famine
227,Fantasy Island,/wiki/Fantasy_Island
