Horror Wiki Index,Title,Year,Horror Wiki URL
0,The Bird with the Crystal Plumage (1970),1970,/wiki/The_Bird_with_the_Crystal_Plumage_(1970)
1,Equinox,1970,/wiki/Equinox
2,Goodbye Gemini,1970,/wiki/Goodbye_Gemini
3,The Horror of Frankenstein,1970,/wiki/The_Horror_of_Frankenstein
4,House of Dark Shadows,1970,/wiki/House_of_Dark_Shadows
5,Scars of Dracula,1970,/wiki/Scars_of_Dracula
6,Taste the Blood of Dracula,1970,/wiki/Taste_the_Blood_of_Dracula
7,Trog,1970,/wiki/Trog
8,The Vampire Lovers (1970),1970,/wiki/The_Vampire_Lovers_(1970)
9,Abominable Dr. Phibes (1971),1971,/wiki/Abominable_Dr._Phibes_(1971)
10,Beast of the Yellow Night (1971),1971,/wiki/Beast_of_the_Yellow_Night_(1971)
11,Blood from the Mummy's Tomb (1971),1971,/wiki/Blood_from_the_Mummy%27s_Tomb_(1971)
12,The Cat o' Nine Tails (1971),1971,/wiki/The_Cat_o%27_Nine_Tails_(1971)
13,Dracula vs. Frankenstein,1971,/wiki/Dracula_vs._Frankenstein
14,Let's Scare Jessica to Death,1971,/wiki/Let%27s_Scare_Jessica_to_Death
15,Night of Dark Shadows (1971),1971,/wiki/Night_of_Dark_Shadows_(1971)
16,The House That Dripped Blood,1971,/wiki/The_House_That_Dripped_Blood
17,Baron Blood (1972),1972,/wiki/Baron_Blood_(1972)
18,Beware! The Blob (1972),1972,/wiki/Beware!_The_Blob_(1972)
19,Blacula (1972),1972,/wiki/Blacula_(1972)
20,Children Shouldn't Play with Dead Things (1972),1972,/wiki/Children_Shouldn%27t_Play_with_Dead_Things_(1972)
21,Deliverance,1972,/wiki/Deliverance
22,Frogs,1972,/wiki/Frogs
23,Fury of the Wolfman,1972,/wiki/Fury_of_the_Wolfman
24,Horror Express,1972,/wiki/Horror_Express
25,The Last House on the Left (1972),1972,/wiki/The_Last_House_on_the_Left_(1972)
26,Tales From The Crypt,1972,/wiki/Tales_From_The_Crypt
27,Tales from the Crypt,1972,/wiki/Tales_from_the_Crypt
28,The Legend of Boggy Creek,1972,/wiki/The_Legend_of_Boggy_Creek
29,The Possession of Joel Delaney,1972,/wiki/The_Possession_of_Joel_Delaney
30,Vampire Circus,1972,/wiki/Vampire_Circus
