Death List Index,Title,Death List URL,Stripped Title,Year
0,A Bay of Blood,/wiki/A_Bay_of_Blood,a bay of blood,
1,A Blade in the Dark,/wiki/A_Blade_in_the_Dark,a blade in dark,
2,A Bucket Of Blood,/wiki/A_Bucket_Of_Blood,a bucket of blood,
3,A Creepshow Animated Special,/wiki/A_Creepshow_Animated_Special,a creepshow animated special,
8,A.M.I,/wiki/A.M.I,a m i,
9,A.N.T. Farm: Mutant Farm,/wiki/A.N.T._Farm:_Mutant_Farm,a n t farm mutant farm,
4,A Nightmare on Elm Street,/wiki/A_Nightmare_on_Elm_Street,a nightmare on elm street,
5,A Quiet Place,/wiki/A_Quiet_Place,a quiet place,
6,A Serbian Film,/wiki/A_Serbian_Film,a serbian film,
7,A Trip to the Moon,/wiki/A_Trip_to_the_Moon,a trip to moon,
10,Aatank,/wiki/Aatank,aatank,
11,Abbott and Costello Meet Frankenstein,/wiki/Abbott_and_Costello_Meet_Frankenstein,abbott and costello meet frankenstein,
12,ABCs of Death,/wiki/ABCs_of_Death,abcs of death,
13,Abominable,/wiki/Abominable,abominable,
14,Abraham Lincoln vs Zombies,/wiki/Abraham_Lincoln_vs_Zombies,abraham lincoln vs zombies,
15,Absurd,/wiki/Absurd,absurd,
16,Aftershock,/wiki/Aftershock,aftershock,
17,"Alice, Sweet Alice","/wiki/Alice,_Sweet_Alice",alice sweet alice,
18,Alien,/wiki/Alien,alien,
19,Alive (2020),/wiki/Alive_(2020),alive,2020
20,All Through The House,/wiki/All_Through_The_House,all through house,
21,Alligator X,/wiki/Alligator_X,alligator x,
22,Alone in the Dark,/wiki/Alone_in_the_Dark,alone in dark,
23,Altered 2006,/wiki/Altered_2006,altered,2006
24,Alyce Kills,/wiki/Alyce_Kills,alyce kills,
959,The Amazing World of Gumball: The Grudge,/wiki/The_Amazing_World_of_Gumball:_The_Grudge,amazing world of gumball grudge,
615,The Amazing World of Gumball: The Grudge,/wiki/The_Amazing_World_of_Gumball:_The_Grudge,amazing world of gumball grudge,
25,American Mary,/wiki/American_Mary,american mary,
26,American Psycho,/wiki/American_Psycho,american psycho,
960,The Amityville Horror,/wiki/The_Amityville_Horror,amityville horror,
616,The Amityville Horror,/wiki/The_Amityville_Horror,amityville horror,
27,Amsterdamned,/wiki/Amsterdamned,amsterdamned,
28,Amusement,/wiki/Amusement,amusement,
29,An American Werewolf,/wiki/An_American_Werewolf,an american werewolf,
30,Anaconda,/wiki/Anaconda,anaconda,
31,Anatomy,/wiki/Anatomy,anatomy,
32,And Then There Were None,/wiki/And_Then_There_Were_None,and then there were none,
33,Animal,/wiki/Animal,animal,
34,Annihilation,/wiki/Annihilation,annihilation,
35,Anthropophagus,/wiki/Anthropophagus,anthropophagus,
36,Antichrist,/wiki/Antichrist,antichrist,
37,Apartment Trilogy (Roman Polanski),/wiki/Apartment_Trilogy_(Roman_Polanski),apartment trilogy roman polanski,
38,Apocalypse Trilogy (John Carpenter),/wiki/Apocalypse_Trilogy_(John_Carpenter),apocalypse trilogy john carpenter,
39,April Fool's Day (1986),/wiki/April_Fool%27s_Day_(1986),april fools day,1986
40,April Fool's Day (2008),/wiki/April_Fool%27s_Day_(2008),april fools day,2008
41,Aqua Teen Hunger Force,/wiki/Aqua_Teen_Hunger_Force,aqua teen hunger force,
42,Aquarius,/wiki/Aquarius,aquarius,
43,Arachnophobia,/wiki/Arachnophobia,arachnophobia,
44,Are You Afraid of the Dark?,/wiki/Are_You_Afraid_of_the_Dark%3F,are you afraid of dark,
45,Area 51 (2015),/wiki/Area_51_(2015),area 51,2015
46,"As Above, So Below","/wiki/As_Above,_So_Below",as above so below,
47,Ash vs Evil Dead,/wiki/Ash_vs_Evil_Dead,ash vs evil dead,
48,Assassination Nation,/wiki/Assassination_Nation,assassination nation,
49,Assimilate,/wiki/Assimilate,assimilate,
55,Attack the Block,/wiki/Attack_the_Block,attack block,
50,Attack of the Crab Monsters,/wiki/Attack_of_the_Crab_Monsters,attack of crab monsters,
51,Attack of the Giant Leeches,/wiki/Attack_of_the_Giant_Leeches,attack of giant leeches,
52,Attack Of the Killer Donuts,/wiki/Attack_Of_the_Killer_Donuts,attack of killer donuts,
53,Attack of the Killer Tomatoes,/wiki/Attack_of_the_Killer_Tomatoes,attack of killer tomatoes,
54,Attack of the Sabretooth,/wiki/Attack_of_the_Sabretooth,attack of sabretooth,
617,The Autopsy of Jane Doe,/wiki/The_Autopsy_of_Jane_Doe,autopsy of jane doe,
961,The Autopsy of Jane Doe,/wiki/The_Autopsy_of_Jane_Doe,autopsy of jane doe,
56,Axe Giant: The Wrath of Paul Bunyan,/wiki/Axe_Giant:_The_Wrath_of_Paul_Bunyan,axe giant wrath of paul bunyan,
57,Aztec Rex,/wiki/Aztec_Rex,aztec rex,
962,The Babadook,/wiki/The_Babadook,babadook,
618,The Babadook,/wiki/The_Babadook,babadook,
619,The Babysitter,/wiki/The_Babysitter,babysitter,
963,The Babysitter,/wiki/The_Babysitter,babysitter,
620,The Babysitter (2017),/wiki/The_Babysitter_(2017),babysitter,2017
964,The Babysitter (2017),/wiki/The_Babysitter_(2017),babysitter,2017
965,The Babysitter: Killer Queen,/wiki/The_Babysitter:_Killer_Queen,babysitter killer queen,
621,The Babysitter: Killer Queen,/wiki/The_Babysitter:_Killer_Queen,babysitter killer queen,
58,Bad Blood,/wiki/Bad_Blood,bad blood,
59,Bad Dream,/wiki/Bad_Dream,bad dream,
60,Bad Meat,/wiki/Bad_Meat,bad meat,
61,Bad Moon,/wiki/Bad_Moon,bad moon,
62,Bad Reputation,/wiki/Bad_Reputation,bad reputation,
63,Bad Taste,/wiki/Bad_Taste,bad taste,
