Horror Wiki Index,char index,actor,character
787,0,John Cusack,Mike Enslin
787,1,Samuel L. Jackson,Gerald Olin
787,2,Mary McCormack,Lily Enslin
787,3,Tony Shalhoub,Sam Farrell
787,4,Len Cariou,Mike's father
787,5,Jasmine Jessica Anthony,Katie Enslin
787,6,Isiah Whitlock,Jr. as Hotel Engineer
787,7,Kim Thomson,Hotel Desk Clerk
787,8,Benny Urquidez,Claw Hammer Maniac
1128,0,Thomas Jane,Wilfred James
1128,1,Dylan Schmid,Henry James
1128,2,Molly Parker,Arlette James
1128,3,Neal McDonough,Harlan Cotterie
1128,4,Kaitlyn Bernard,Shannon Cotterie
1128,5,Brian d'Arcy James,Sheriff Jones
1128,6,Bob Frazer,Mr. Lester
968,0,Carmen Electra,Anne Babish
968,1,Charlie O'Connell,Professor Babish
968,2,Brooke Hogan,Kate
968,3,Christina Bach,Dana
968,4,David Gallegos,Paul
968,5,Geoff Ward,Cole
968,6,Mercedes Young,Liza
968,7,Shannan Stewart,Lyndsey
968,8,Tihirah Taliaferro,Michelle
968,9,Michael Dicarluccio,Ethan
968,10,Lauren Vera,Jamie
968,11,Marckenson Charles,Ryan
968,12,Ashley Bissing,Kristen
968,13,Corinne Nobili,Kirsten
968,14,Benjamin James,Alex
968,15,Chase Conner,Kirk
968,16,Anna Jackson,Haley
968,17,Amber English,Alison
968,18,Collin Carmouze,Jeff
968,19,Casey King Leslie,Mike
968,20,Morgan Thompson,Laura
968,21,Gerald Webb,Han
968,22,Anthony E. Valentin,Dikilla
644,0,Cillian Murphy,Jim
644,1,Naomie Harris,Selena
644,2,Noah Huntley,Mark
644,3,Christopher Dunne,Jim's Father
644,4,Emma Hitching,Jim's Mother
644,5,Alexander Delamere,Mr. Bridges
644,6,Kim McGarrity,Mr. Bridges' Daughter
644,7,Brendan Gleeson,Frank
644,8,Megan Burns,Hannah
644,9,Luke Mably,Private Clifton
644,10,Stuart McQuarrie,Sergeant Farrell
644,11,Ricci Harnett,Corporal Mitchell
644,12,Leo Bill,Private Jones
644,13,Junior Laniyan,Private Bell
644,14,Ray Panthaki,Private Bedford
644,15,Christopher Eccleston,Major Henry West
644,16,Sanjay Rambaruth,Private Davis
644,17,Marvin Campbell,Private Mailer
788,0,Robert Carlyle,Don Harris
788,1,Rose Byrne,Scarlet
788,2,Jeremy Renner,Doyle
788,3,Amanda Walker,Sally
788,4,Shahid Ahmed,Jacob
788,5,Harold Perrineau,Flynn
788,6,Catherine McCormack,Alice Harris
788,7,Garfield Morgan,Geoff
788,8,Emily Beecham,Karen
788,9,Idris Elba,Stone
788,10,Imogen Poots,Tammy Harris
788,11,Mackintosh Muggleton,Andy Harris
1073,0,Karrueche Tran,Maggie Peterson
1073,1,Rob Van Dam,Stanley
1073,2,Danny Trejo,Max Burns
1073,3,Jaason Simmons,Dr. Ted Nelson
1073,4,Rico Ball,Omar
1073,5,Jena Sims,Dr. Laura Thomas
1073,6,Lawrence C. Garnell Jr.,Dr. Leonard
1073,7,Dawn Hamil,Allison
1073,8,Brianna Ferris,Rosemarie
1073,9,Carlos Rivera,Howard Grant
1073,10,Scott Thomas Reynold,Ryan Bennett
1073,11,Brad Mills,Greg
1073,12,Bob Constance,Brad
1073,13,James Poule,Brian
1073,14,Stephen Norris,Steve
1073,15,Mark Nager,Seth
1073,16,Preston Simmons,Zach
1073,17,Stephen Harwick,Mark
1073,18,Jazy Berlin,Polly
1073,19,Anna Mercedes Morris,Sasha
1073,20,Kayla Campbell,Lindsey
1073,21,Nestor Fuentes,Maurice
1073,22,Carlos Javier Rivera,Howard
1073,23,Jacquline Schmidt,Vanessa
1073,24,Eric C. Schmitz,Betts
1073,25,Scott Alan Warner,Sandoval
1073,26,Cody Lee,Tyler
1073,27,Chasen Grieshop,Volley Player
1073,28,Chris Cook,Captain
1073,29,Laurie Jones,Boat Crew
1073,30,Martin Ross Henne,Handsome Boat Partiet
1073,31,John Williams & Willie Jones,Burns Men
1073,32,Kimberly Ballista,Bikini Girl
1073,33,Cristalle C. Leonard,Research Scientist
1073,34,Rebekah Hart Franklin,Scientist
1073,35,Sharon Posey,Scientist
1073,36,Brent Amacker & Holly Arland,Background Persons
789,0,Josh Hartnett,Eben Oleson
789,1,Melissa George,Stella Oleson
789,2,Danny Huston,Marlow
789,3,Ben Foster,The Stranger
789,4,Mark Boone Junior,Beau Brower
789,5,Mark Rendall,Jake Olseon
789,6,Amber Sainsbury,Denise
789,7,Manu Bennett,Billy Kitka
789,8,Megan Franich,Iris
789,9,Joel Tobeck,Doug Hertz
789,10,Elizabeth Hawthorne,Lucy Ikos
789,11,Nathaniel Lees,Carter Davies
1129,0,Mandy Moore,Lisa
1129,1,Claire Holt,Kate
1129,2,Chris J. Johnson,Javier
1129,3,Yani Gellman,Louis
1129,4,Santiago Segura,Benjamin
