Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
0,An Evening of Edgar Allan Poe,1970.0,"Vincent Price recites four Edgar Allen Poe stories: The Tell-Tale Heart, The Sphinx, The Cask of Amontillado, and The Pit and the Pendulum.",Kenneth Johnson,Vincent Price,an evening of edgar allan poe,,
1,The Dunwich Horror,1970.0,"Wilbur Whateley travels to the Arkham Miskatonic University to borrow the legendary Necronomicon. But, little does anyone know, Whateley isn't quite human...",Daniel Haller,"Sandra Dee, Dean Stockwell, Ed Begley, Lloyd Bochner",dunwich horror,,
2,The Ravager,1970.0,"While serving in Vietnam, a demolitionist witnesses the brutal torture/rape/murder of a young woman...ultimately, he becomes a serial rapist and killer himself, preferring explosives as his murder weapon of choice.",Charles Nizet,"Pierre Agostino, Jo Long, Lynn Hayes, Luanne Roberts",ravager,,
3,Bloodthirsty Butchers,1970.0,"A murderous barber and his equally psychopathic friend, a baker, the barber and baker hatch a plan to murder and make human pies to be sold in his shop.",Andy Milligan,"John Miranda, Annabella Wood, Berwick Kaler, Jane Hilary",bloodthirsty butchers,,
4,Torture Dungeon,1970.0,"In Medival England, a sadistic duke plots to kill off all the heirs to the throne of England so he can claim the title crown for himself.",Andy Milligan,"Gerald Jacuzzo, Susan Cassidy, Patricia Dillon, Neil Flanagan",torture dungeon,,
5,Horror of the Blood Monsters,1970.0,"In the near future with a intergalactic vampire plague threatening earth, an expedition is sent to a distant galaxy in hopes of discovering the plague's source. Landing on a mysterious ...                See full summary »",Al Adamson,"John Carradine, Robert Dix, Vicki Volante, Joey Benson",horror of blood monsters,,
6,Women and Bloody Terror,1970.0,"A wretched piece about a promiscuous woman, who has affairs with every man she meets, including her daughter's boy friend.",Joy N. Houck Jr.,"Georgine Darcy, Marcus J. Grapes, Michael Anthony, Christina Hart",women and bloody terror,,
7,The Psycho Lover,1970.0,"A psychiatrist plots to murder his wife, but with a new twist: he will brainwash a patient he is treating into committing the crime.",Robert Vincent O'Neil,"Lawrence Montaigne, Jo Anne Meredith, Elizabeth Plumb, Frank Cuva",psycho lover,,
8,Flesh Feast,1970.0,"A ring of Nazis in Florida is in possession of the body of Adolf Hitler, and plan revive him so they can take over the world.",Brad F. Grinter,"Veronica Lake, Phil Philbin, Doug Foster, Harry Kerwin",flesh feast,,
9,Multiple Maniacs,1970.0,"Three determined women, Divine, Cookie and Mink Stole, set out to solve the Sharon Tate murders.",John Waters,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole",multiple maniacs,,
10,Blood of the Iron Maiden,1970.0,"A crazed movie director (Marvin Miller), aided by a deranged doctor (John Carradine), gives LSD to aspiring actresses before murdering them with an iron maiden in his torture chamber.",Ben Benoit,"Marvin Miller, Peter Duryea, Carole Kane, John Carradine",blood of iron maiden,,
