Horror Wiki Index,char index,Stripped Title,Year,character
262,0,a nightmare on elm street,1984,"Christina ""Tina"" Gray"
262,1,a nightmare on elm street,1984,Rod Lane
262,2,a nightmare on elm street,1984,Glen Lantz
262,3,a nightmare on elm street,1984,Marge Thompson
908,0,a nightmare on elm street,2010,Sukari McGill
908,1,a nightmare on elm street,2010,Carrie Bush
908,2,a nightmare on elm street,2010,Nancy Lumb
908,3,a nightmare on elm street,2010,Elizabeth Cook
908,4,a nightmare on elm street,2010,Craig Jackson
908,5,a nightmare on elm street,2010,Lisa Harper
908,6,a nightmare on elm street,2010,Bret Tanzer
908,7,a nightmare on elm street,2010,Dean Russell
908,8,a nightmare on elm street,2010,"Kristen ""Kris"" Fowles"
908,9,a nightmare on elm street,2010,Jesse Braun
908,10,a nightmare on elm street,2010,Marcus Yeon
908,11,a nightmare on elm street,2010,Gwen Holbrook
276,0,a nightmare on elm street 2 freddys revenge,1985,Coach Schneider
276,1,a nightmare on elm street 2 freddys revenge,1985,Ron Grady
276,2,a nightmare on elm street 2 freddys revenge,1985,Party Guest 1
276,3,a nightmare on elm street 2 freddys revenge,1985,Party Guest 2
276,4,a nightmare on elm street 2 freddys revenge,1985,Party Guest 3
276,5,a nightmare on elm street 2 freddys revenge,1985,Party Guest 4
276,6,a nightmare on elm street 2 freddys revenge,1985,Party Guest 5
276,7,a nightmare on elm street 2 freddys revenge,1985,Party Guest 6
276,8,a nightmare on elm street 2 freddys revenge,1985,Party Guest 7
276,9,a nightmare on elm street 2 freddys revenge,1985,Kerry Hellman
276,10,a nightmare on elm street 2 freddys revenge,1985,Jesse Walsh
276,11,a nightmare on elm street 2 freddys revenge,1985,Lisa Webber
323,0,a nightmare on elm street 3 dream warriors,1987,Phillip Anderson
323,1,a nightmare on elm street 3 dream warriors,1987,Jennifer Caulfield
323,2,a nightmare on elm street 3 dream warriors,1987,Taryn White
323,3,a nightmare on elm street 3 dream warriors,1987,Will Stanton
323,4,a nightmare on elm street 3 dream warriors,1987,Donald Thompson
323,5,a nightmare on elm street 3 dream warriors,1987,Dr. Nancy Thompson
383,0,a nightmare on elm street 4 dream master,1988,Docter Neil Gordon
383,1,a nightmare on elm street 4 dream master,1988,Roland Kincaid
383,2,a nightmare on elm street 4 dream master,1988,Joey Crusel
383,3,a nightmare on elm street 4 dream master,1988,Kristen Parker
383,4,a nightmare on elm street 4 dream master,1988,Sheila Kopecky
383,5,a nightmare on elm street 4 dream master,1988,Rick Johnson
383,6,a nightmare on elm street 4 dream master,1988,Debbie Stevens
383,7,a nightmare on elm street 4 dream master,1988,"Frederick Charles ""Freddy"" Krueger"
394,0,a nightmare on elm street 5 dream child,1989,Mr Gibson
394,1,a nightmare on elm street 5 dream child,1989,Doris Jordan
394,2,a nightmare on elm street 5 dream child,1989,Manuel Jordan
394,3,a nightmare on elm street 5 dream child,1989,Tobias Jordan
394,4,a nightmare on elm street 5 dream child,1989,Mr. Jordan
394,5,a nightmare on elm street 5 dream child,1989,"Daniel ""Dan"" Jordan"
394,6,a nightmare on elm street 5 dream child,1989,Greta Gibson
394,7,a nightmare on elm street 5 dream child,1989,Mark Gray
394,8,a nightmare on elm street 5 dream child,1989,Freddy Krueger
394,9,a nightmare on elm street 5 dream child,1989,Demon 1
394,10,a nightmare on elm street 5 dream child,1989,Demon 2
394,11,a nightmare on elm street 5 dream child,1989,Demon 3
394,12,a nightmare on elm street 5 dream child,1989,Demon 4
394,13,a nightmare on elm street 5 dream child,1989,Demon 5
394,14,a nightmare on elm street 5 dream child,1989,Racine Gibson
394,15,a nightmare on elm street 5 dream child,1989,Anne
394,16,a nightmare on elm street 5 dream child,1989,Coash Ostrow
394,17,a nightmare on elm street 5 dream child,1989,Dr Moore
394,18,a nightmare on elm street 5 dream child,1989,Amanda Krueger
80,0,alice sweet alice,1976,Karen Spages
80,1,alice sweet alice,1976,Dom Spages
80,2,alice sweet alice,1976,Kitten
80,3,alice sweet alice,1976,Fat guy
80,4,alice sweet alice,1976,Father Tom
834,0,amusement,2008,Tryton
834,1,amusement,2008,Rob
834,2,amusement,2008,Dr. Owens
834,3,amusement,2008,Dan
834,4,amusement,2008,Lisa Swan
834,5,amusement,2008,Shelby Leds
834,6,amusement,2008,The Laugh
325,0,angustia,1987,Caroline
325,1,angustia,1987,Caroline's Boyfriend
325,2,angustia,1987,Don
325,3,angustia,1987,Sleepy
325,4,angustia,1987,Laura
325,5,angustia,1987,Tricket Girl
325,6,angustia,1987,Concession Girl
325,7,angustia,1987,Bathroom Woman
325,8,angustia,1987,Concession Girl
325,9,angustia,1987,Tricket Girl
325,10,angustia,1987,Patty's Father
325,11,angustia,1987,Patty's Mother
325,12,angustia,1987,Student #1
325,13,angustia,1987,Sleepy
325,14,angustia,1987,Elderly Man
325,15,angustia,1987,First Murder
325,16,angustia,1987,Ann
325,17,angustia,1987,Salesman
325,18,angustia,1987,Hairy Woman
325,19,angustia,1987,The Killer
325,20,angustia,1987,"Alice Pressman, Mother"
325,21,angustia,1987,Linda
325,22,angustia,1987,Patty
1162,0,anna and apocalypse,2018,Jake
1162,1,anna and apocalypse,2018,Tibbsy
1162,2,anna and apocalypse,2018,John
1162,3,anna and apocalypse,2018,Bea
1162,4,anna and apocalypse,2018,Lisa
1162,5,anna and apocalypse,2018,Chris
1162,6,anna and apocalypse,2018,Rector Savage
1162,7,anna and apocalypse,2018,Tony (Anna's dad)
1215,0,banana splits movie,2019,Stevie
1215,1,banana splits movie,2019,Thadd
1215,2,banana splits movie,2019,Sal
1215,3,banana splits movie,2019,Jonathan
1215,4,banana splits movie,2019,Rebecca
1215,5,banana splits movie,2019,Karl
1215,6,banana splits movie,2019,Doug
1215,7,banana splits movie,2019,All audience members and Taft Studios' crew
1215,8,banana splits movie,2019,Andy
1215,9,banana splits movie,2019,Fleegle
1215,10,banana splits movie,2019,Drooper
1215,11,banana splits movie,2019,Bingo
1215,12,banana splits movie,2019,Snorky
1215,13,banana splits movie,2019,Mitch Williams
747,0,behind mask rise of leslie vernon,2006,Mrs. Collinwood
747,1,behind mask rise of leslie vernon,2006,Jock
747,2,behind mask rise of leslie vernon,2006,Cheerleader
747,3,behind mask rise of leslie vernon,2006,Pete
747,4,behind mask rise of leslie vernon,2006,Stoner kid #1
747,5,behind mask rise of leslie vernon,2006,Stoner kid #2
747,6,behind mask rise of leslie vernon,2006,Kelly
747,7,behind mask rise of leslie vernon,2006,Todd
747,8,behind mask rise of leslie vernon,2006,Lauren
747,9,behind mask rise of leslie vernon,2006,Shane
