Horror Wiki Index,char index,actor,character,stripped character,killed
787,0,John Cusack,Mike Enslin,mike enslin,N/A
787,1,Samuel L. Jackson,Gerald Olin,gerald olin,N/A
787,2,Mary McCormack,Lily Enslin,lily enslin,N/A
787,3,Tony Shalhoub,Sam Farrell,sam farrell,N/A
787,4,Len Cariou,Mike's father,mikes father,N/A
787,5,Jasmine Jessica Anthony,Katie Enslin,katie enslin,N/A
787,6,Isiah Whitlock,Jr. as Hotel Engineer,jr as hotel engineer,N/A
787,7,Kim Thomson,Hotel Desk Clerk,hotel desk clerk,N/A
787,8,Benny Urquidez,Claw Hammer Maniac,claw hammer maniac,N/A
1128,0,Thomas Jane,Wilfred James,wilfred james,N/A
1128,1,Dylan Schmid,Henry James,henry james,N/A
1128,2,Molly Parker,Arlette James,arlette james,N/A
1128,3,Neal McDonough,Harlan Cotterie,harlan cotterie,N/A
1128,4,Kaitlyn Bernard,Shannon Cotterie,shannon cotterie,N/A
1128,5,Brian d'Arcy James,Sheriff Jones,sheriff jones,N/A
1128,6,Bob Frazer,Mr. Lester,mr lester,N/A
968,0,Carmen Electra,Anne Babish,anne babish,N/A
968,1,Charlie O'Connell,Professor Babish,professor babish,N/A
968,2,Brooke Hogan,Kate,kate,N/A
968,3,Christina Bach,Dana,dana,N/A
968,4,David Gallegos,Paul,paul,N/A
968,5,Geoff Ward,Cole,cole,N/A
968,6,Mercedes Young,Liza,liza,N/A
968,7,Shannan Stewart,Lyndsey,lyndsey,N/A
968,8,Tihirah Taliaferro,Michelle,michelle,N/A
968,9,Michael Dicarluccio,Ethan,ethan,N/A
968,10,Lauren Vera,Jamie,jamie,N/A
968,11,Marckenson Charles,Ryan,ryan,N/A
968,12,Ashley Bissing,Kristen,kristen,N/A
968,13,Corinne Nobili,Kirsten,kirsten,N/A
968,14,Benjamin James,Alex,alex,N/A
968,15,Chase Conner,Kirk,kirk,N/A
968,16,Anna Jackson,Haley,haley,N/A
968,17,Amber English,Alison,alison,N/A
968,18,Collin Carmouze,Jeff,jeff,N/A
968,19,Casey King Leslie,Mike,mike,N/A
968,20,Morgan Thompson,Laura,laura,N/A
968,21,Gerald Webb,Han,han,N/A
968,22,Anthony E. Valentin,Dikilla,dikilla,N/A
644,0,Cillian Murphy,Jim,jim,N/A
644,1,Naomie Harris,Selena,selena,N/A
644,2,Noah Huntley,Mark,mark,N/A
644,3,Christopher Dunne,Jim's Father,jims father,N/A
644,4,Emma Hitching,Jim's Mother,jims mother,N/A
644,5,Alexander Delamere,Mr. Bridges,mr bridges,N/A
644,6,Kim McGarrity,Mr. Bridges' Daughter,mr bridges daughter,N/A
644,7,Brendan Gleeson,Frank,frank,N/A
644,8,Megan Burns,Hannah,hannah,N/A
644,9,Luke Mably,Private Clifton,private clifton,N/A
644,10,Stuart McQuarrie,Sergeant Farrell,sergeant farrell,N/A
644,11,Ricci Harnett,Corporal Mitchell,corporal mitchell,N/A
644,12,Leo Bill,Private Jones,private jones,N/A
644,13,Junior Laniyan,Private Bell,private bell,N/A
