Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
787,0,John Cusack,Mike Enslin,mike enslin,,http://www.nndb.com/people/787/000022721/,White,Male
787,1,Samuel L. Jackson,Gerald Olin,gerald olin,,http://www.nndb.com/people/563/000023494/,Black,Male
787,2,Mary McCormack,Lily Enslin,lily enslin,,http://www.nndb.com/people/829/000131436/,White,Female
787,3,Tony Shalhoub,Sam Farrell,sam farrell,,http://www.nndb.com/people/292/000025217/,Middle Eastern,Male
787,4,Len Cariou,Mike's father,mikes father,,http://www.nndb.com/people/323/000130930/,White,Male
787,5,Jasmine Jessica Anthony,Katie Enslin,katie enslin,,,Unlisted,Unlisted
787,6,Isiah Whitlock,Jr. as Hotel Engineer,jr as hotel engineer,,,Unlisted,Unlisted
787,7,Kim Thomson,Hotel Desk Clerk,hotel desk clerk,,,Unlisted,Unlisted
787,8,Benny Urquidez,Claw Hammer Maniac,claw hammer maniac,,,Hispanic,Male
1128,0,Thomas Jane,Wilfred James,wilfred james,,http://www.nndb.com/people/931/000044799/,White,Male
1128,1,Dylan Schmid,Henry James,henry james,,,Unlisted,Unlisted
1128,2,Molly Parker,Arlette James,arlette james,,http://www.nndb.com/people/334/000093055/,White,Female
1128,3,Neal McDonough,Harlan Cotterie,harlan cotterie,,http://www.nndb.com/people/792/000096504/,White,Male
1128,4,Kaitlyn Bernard,Shannon Cotterie,shannon cotterie,,,Unlisted,Unlisted
1128,5,Brian d'Arcy James,Sheriff Jones,sheriff jones,,,Unlisted,Unlisted
1128,6,Bob Frazer,Mr. Lester,mr lester,,,White,Male
968,0,Carmen Electra,Anne Babish,anne babish,,http://www.nndb.com/people/500/000023431/,White,Female
968,1,Charlie O'Connell,Professor Babish,professor babish,,,Unlisted,Unlisted
968,2,Brooke Hogan,Kate,kate,,http://www.nndb.com/people/276/000159796/,White,Female
968,3,Christina Bach,Dana,dana,,,Unlisted,Unlisted
968,4,David Gallegos,Paul,paul,,,Unlisted,Unlisted
968,5,Geoff Ward,Cole,cole,,,Unlisted,Unlisted
968,6,Mercedes Young,Liza,liza,,,Unlisted,Unlisted
968,7,Shannan Stewart,Lyndsey,lyndsey,,,Unlisted,Unlisted
968,8,Tihirah Taliaferro,Michelle,michelle,,,Unlisted,Unlisted
968,9,Michael Dicarluccio,Ethan,ethan,,,Unlisted,Unlisted
968,10,Lauren Vera,Jamie,jamie,,,Unlisted,Unlisted
968,11,Marckenson Charles,Ryan,ryan,,,Unlisted,Unlisted
968,12,Ashley Bissing,Kristen,kristen,,,Unlisted,Unlisted
968,13,Corinne Nobili,Kirsten,kirsten,,,Unlisted,Unlisted
968,14,Benjamin James,Alex,alex,,,Unlisted,Unlisted
968,15,Chase Conner,Kirk,kirk,,,Unlisted,Unlisted
968,16,Anna Jackson,Haley,haley,,,Black,Female
968,17,Amber English,Alison,alison,,,Unlisted,Unlisted
968,18,Collin Carmouze,Jeff,jeff,,,Unlisted,Unlisted
968,19,Casey King Leslie,Mike,mike,,,Unlisted,Unlisted
968,20,Morgan Thompson,Laura,laura,,,Unlisted,Unlisted
968,21,Gerald Webb,Han,han,,,Unlisted,Unlisted
968,22,Anthony E. Valentin,Dikilla,dikilla,,,Unlisted,Unlisted
644,0,Cillian Murphy,Jim,jim,,http://www.nndb.com/people/448/000071235/,White,Male
644,1,Naomie Harris,Selena,selena,,http://www.nndb.com/people/854/000160374/,Black,Female
644,2,Noah Huntley,Mark,mark,,,White,Male
644,3,Christopher Dunne,Jim's Father,jims father,,,Unlisted,Unlisted
644,4,Emma Hitching,Jim's Mother,jims mother,,,Unlisted,Unlisted
644,5,Alexander Delamere,Mr. Bridges,mr bridges,,,Unlisted,Unlisted
644,6,Kim McGarrity,Mr. Bridges' Daughter,mr bridges daughter,,,Unlisted,Unlisted
644,7,Brendan Gleeson,Frank,frank,,http://www.nndb.com/people/092/000130699/,White,Male
644,8,Megan Burns,Hannah,hannah,,,Unlisted,Unlisted
644,9,Luke Mably,Private Clifton,private clifton,,http://www.nndb.com/people/516/000163027/,White,Male
644,10,Stuart McQuarrie,Sergeant Farrell,sergeant farrell,,,Unlisted,Unlisted
644,11,Ricci Harnett,Corporal Mitchell,corporal mitchell,,,Unlisted,Unlisted
644,12,Leo Bill,Private Jones,private jones,,,White,Male
644,13,Junior Laniyan,Private Bell,private bell,,,Unlisted,Unlisted
644,14,Ray Panthaki,Private Bedford,private bedford,,,Unlisted,Unlisted
644,15,Christopher Eccleston,Major Henry West,major henry west,,http://www.nndb.com/people/325/000093046/,White,Male
644,16,Sanjay Rambaruth,Private Davis,private davis,,,Unlisted,Unlisted
644,17,Marvin Campbell,Private Mailer,private mailer,,,Unlisted,Unlisted
788,0,Robert Carlyle,Don Harris,don harris,,http://www.nndb.com/people/828/000043699/,White,Male
788,1,Rose Byrne,Scarlet,scarlet,,http://www.nndb.com/people/112/000131716/,White,Female
788,2,Jeremy Renner,Doyle,doyle,,http://www.nndb.com/people/181/000160698/,White,Male
788,3,Amanda Walker,Sally,sally,,,White,Female
788,4,Shahid Ahmed,Jacob,jacob,,,Unlisted,Unlisted
788,5,Harold Perrineau,Flynn,flynn,,http://www.nndb.com/people/809/000096521/,Black,Male
788,6,Catherine McCormack,Alice Harris,alice harris,,http://www.nndb.com/people/776/000107455/,White,Female
788,7,Garfield Morgan,Geoff,geoff,,http://www.nndb.com/people/288/000351232/,White,Male
788,8,Emily Beecham,Karen,karen,,,Unlisted,Unlisted
788,9,Idris Elba,Stone,stone,,http://www.nndb.com/people/335/000111002/,Black,Male
788,10,Imogen Poots,Tammy Harris,tammy harris,,,White,Female
788,11,Mackintosh Muggleton,Andy Harris,andy harris,,,Unlisted,Unlisted
1073,0,Karrueche Tran,Maggie Peterson,maggie peterson,,,Unlisted,Unlisted
